user_id,exer_id,score,knowledge_code
440,9,1,[2]
471,11,0,"[2, 5, 7]"
272,16,1,"[2, 7]"
197,17,1,"[2, 5, 7]"
140,8,1,[7]
485,9,1,[2]
429,12,1,"[7, 8]"
445,19,1,"[1, 2, 3, 5, 7]"
513,6,1,[7]
512,9,1,[2]
213,7,1,"[1, 2, 7]"
503,5,1,"[2, 4, 7, 8]"
367,13,0,"[2, 4, 5, 7]"
517,18,0,"[2, 5, 6, 7]"
212,18,0,"[2, 5, 6, 7]"
413,15,1,"[1, 7]"
470,18,0,"[2, 5, 6, 7]"
292,2,1,"[4, 7]"
284,20,1,"[2, 3, 5, 7]"
462,14,1,"[2, 7]"
320,9,1,[2]
256,16,1,"[2, 7]"
240,15,0,"[1, 7]"
28,19,0,"[1, 2, 3, 5, 7]"
126,8,1,[7]
189,15,1,"[1, 7]"
201,4,1,"[2, 3, 5, 7]"
533,16,1,"[2, 7]"
262,2,0,"[4, 7]"
6,15,0,"[1, 7]"
533,2,1,"[4, 7]"
393,19,0,"[1, 2, 3, 5, 7]"
321,12,1,"[7, 8]"
237,15,1,"[1, 7]"
130,9,1,[2]
1,4,1,"[2, 3, 5, 7]"
244,8,1,[7]
24,13,0,"[2, 4, 5, 7]"
346,20,1,"[2, 3, 5, 7]"
457,7,0,"[1, 2, 7]"
90,19,1,"[1, 2, 3, 5, 7]"
437,4,0,"[2, 3, 5, 7]"
77,8,1,[7]
34,18,1,"[2, 5, 6, 7]"
64,1,1,"[4, 6, 7]"
280,8,1,[7]
20,17,0,"[2, 5, 7]"
342,15,0,"[1, 7]"
483,19,0,"[1, 2, 3, 5, 7]"
303,20,0,"[2, 3, 5, 7]"
87,10,1,"[2, 5, 7, 8]"
420,17,0,"[2, 5, 7]"
290,4,1,"[2, 3, 5, 7]"
151,14,1,"[2, 7]"
266,1,1,"[4, 6, 7]"
2,9,1,[2]
176,10,0,"[2, 5, 7, 8]"
410,3,1,"[4, 7]"
491,7,0,"[1, 2, 7]"
281,9,1,[2]
47,16,0,"[2, 7]"
385,12,1,"[7, 8]"
207,11,1,"[2, 5, 7]"
469,18,1,"[2, 5, 6, 7]"
388,16,1,"[2, 7]"
410,17,1,"[2, 5, 7]"
345,7,0,"[1, 2, 7]"
27,8,0,[7]
177,7,0,"[1, 2, 7]"
238,16,1,"[2, 7]"
158,6,1,[7]
13,11,0,"[2, 5, 7]"
169,5,1,"[2, 4, 7, 8]"
120,4,0,"[2, 3, 5, 7]"
85,16,0,"[2, 7]"
361,16,1,"[2, 7]"
213,20,1,"[2, 3, 5, 7]"
505,17,0,"[2, 5, 7]"
370,15,1,"[1, 7]"
100,20,0,"[2, 3, 5, 7]"
532,15,0,"[1, 7]"
272,17,0,"[2, 5, 7]"
387,6,1,[7]
231,2,0,"[4, 7]"
489,7,0,"[1, 2, 7]"
454,4,1,"[2, 3, 5, 7]"
216,9,1,[2]
276,20,0,"[2, 3, 5, 7]"
56,12,1,"[7, 8]"
40,13,0,"[2, 4, 5, 7]"
461,4,0,"[2, 3, 5, 7]"
169,11,1,"[2, 5, 7]"
131,17,1,"[2, 5, 7]"
187,11,0,"[2, 5, 7]"
63,1,1,"[4, 6, 7]"
244,12,1,"[7, 8]"
310,19,0,"[1, 2, 3, 5, 7]"
270,14,1,"[2, 7]"
196,5,1,"[2, 4, 7, 8]"
12,1,1,"[4, 6, 7]"
492,11,0,"[2, 5, 7]"
238,13,1,"[2, 4, 5, 7]"
341,18,1,"[2, 5, 6, 7]"
393,7,0,"[1, 2, 7]"
331,20,0,"[2, 3, 5, 7]"
440,17,1,"[2, 5, 7]"
398,7,0,"[1, 2, 7]"
117,14,0,"[2, 7]"
535,4,1,"[2, 3, 5, 7]"
535,2,1,"[4, 7]"
13,12,1,"[7, 8]"
444,8,1,[7]
44,6,1,[7]
209,7,1,"[1, 2, 7]"
205,8,1,[7]
424,3,0,"[4, 7]"
109,12,1,"[7, 8]"
206,5,1,"[2, 4, 7, 8]"
26,15,0,"[1, 7]"
78,19,0,"[1, 2, 3, 5, 7]"
382,8,1,[7]
425,6,1,[7]
133,12,1,"[7, 8]"
27,14,1,"[2, 7]"
124,11,1,"[2, 5, 7]"
260,15,1,"[1, 7]"
101,18,0,"[2, 5, 6, 7]"
232,10,1,"[2, 5, 7, 8]"
32,18,1,"[2, 5, 6, 7]"
410,4,0,"[2, 3, 5, 7]"
15,11,0,"[2, 5, 7]"
264,1,0,"[4, 6, 7]"
312,19,0,"[1, 2, 3, 5, 7]"
515,2,0,"[4, 7]"
531,12,0,"[7, 8]"
6,5,0,"[2, 4, 7, 8]"
303,4,1,"[2, 3, 5, 7]"
365,18,1,"[2, 5, 6, 7]"
268,2,1,"[4, 7]"
5,9,0,[2]
324,17,1,"[2, 5, 7]"
35,12,1,"[7, 8]"
289,5,1,"[2, 4, 7, 8]"
139,13,0,"[2, 4, 5, 7]"
206,2,0,"[4, 7]"
214,5,1,"[2, 4, 7, 8]"
441,16,0,"[2, 7]"
190,5,1,"[2, 4, 7, 8]"
48,6,1,[7]
130,19,1,"[1, 2, 3, 5, 7]"
217,2,0,"[4, 7]"
273,7,1,"[1, 2, 7]"
191,18,0,"[2, 5, 6, 7]"
446,10,0,"[2, 5, 7, 8]"
334,4,0,"[2, 3, 5, 7]"
488,3,0,"[4, 7]"
395,3,0,"[4, 7]"
49,20,0,"[2, 3, 5, 7]"
340,13,0,"[2, 4, 5, 7]"
343,7,0,"[1, 2, 7]"
64,9,1,[2]
176,6,1,[7]
437,10,0,"[2, 5, 7, 8]"
328,20,1,"[2, 3, 5, 7]"
510,9,0,[2]
380,1,1,"[4, 6, 7]"
420,4,1,"[2, 3, 5, 7]"
517,6,1,[7]
37,10,0,"[2, 5, 7, 8]"
97,6,1,[7]
419,12,1,"[7, 8]"
354,1,1,"[4, 6, 7]"
185,6,1,[7]
294,16,1,"[2, 7]"
498,6,0,[7]
20,7,0,"[1, 2, 7]"
185,15,1,"[1, 7]"
216,16,1,"[2, 7]"
231,9,0,[2]
228,20,0,"[2, 3, 5, 7]"
224,3,0,"[4, 7]"
38,15,1,"[1, 7]"
79,4,1,"[2, 3, 5, 7]"
494,16,1,"[2, 7]"
471,1,1,"[4, 6, 7]"
31,14,1,"[2, 7]"
161,12,1,"[7, 8]"
501,1,1,"[4, 6, 7]"
464,17,0,"[2, 5, 7]"
239,5,0,"[2, 4, 7, 8]"
296,1,0,"[4, 6, 7]"
86,2,1,"[4, 7]"
491,14,0,"[2, 7]"
505,4,1,"[2, 3, 5, 7]"
399,2,0,"[4, 7]"
303,11,1,"[2, 5, 7]"
189,8,1,[7]
435,15,0,"[1, 7]"
448,9,1,[2]
529,10,0,"[2, 5, 7, 8]"
348,17,0,"[2, 5, 7]"
355,4,0,"[2, 3, 5, 7]"
418,12,0,"[7, 8]"
227,19,0,"[1, 2, 3, 5, 7]"
432,5,0,"[2, 4, 7, 8]"
148,4,0,"[2, 3, 5, 7]"
95,18,1,"[2, 5, 6, 7]"
257,12,1,"[7, 8]"
439,8,1,[7]
393,14,1,"[2, 7]"
466,16,1,"[2, 7]"
500,10,0,"[2, 5, 7, 8]"
221,4,1,"[2, 3, 5, 7]"
267,14,1,"[2, 7]"
257,18,1,"[2, 5, 6, 7]"
290,5,0,"[2, 4, 7, 8]"
444,7,1,"[1, 2, 7]"
394,14,1,"[2, 7]"
25,5,1,"[2, 4, 7, 8]"
318,14,1,"[2, 7]"
409,13,1,"[2, 4, 5, 7]"
339,6,1,[7]
233,5,0,"[2, 4, 7, 8]"
314,4,0,"[2, 3, 5, 7]"
72,9,1,[2]
239,13,0,"[2, 4, 5, 7]"
494,3,1,"[4, 7]"
196,13,0,"[2, 4, 5, 7]"
79,3,1,"[4, 7]"
350,13,0,"[2, 4, 5, 7]"
178,16,0,"[2, 7]"
464,6,1,[7]
477,4,0,"[2, 3, 5, 7]"
226,2,0,"[4, 7]"
409,19,1,"[1, 2, 3, 5, 7]"
70,16,0,"[2, 7]"
185,12,1,"[7, 8]"
341,1,1,"[4, 6, 7]"
396,19,1,"[1, 2, 3, 5, 7]"
390,6,1,[7]
206,11,1,"[2, 5, 7]"
250,8,1,[7]
289,17,1,"[2, 5, 7]"
198,12,1,"[7, 8]"
284,12,1,"[7, 8]"
449,16,1,"[2, 7]"
156,16,1,"[2, 7]"
501,5,1,"[2, 4, 7, 8]"
170,4,0,"[2, 3, 5, 7]"
518,7,0,"[1, 2, 7]"
411,18,0,"[2, 5, 6, 7]"
497,16,0,"[2, 7]"
459,2,1,"[4, 7]"
35,11,1,"[2, 5, 7]"
85,13,0,"[2, 4, 5, 7]"
240,5,0,"[2, 4, 7, 8]"
467,6,1,[7]
175,3,0,"[4, 7]"
372,10,0,"[2, 5, 7, 8]"
212,8,1,[7]
214,2,1,"[4, 7]"
440,5,1,"[2, 4, 7, 8]"
483,10,0,"[2, 5, 7, 8]"
221,1,0,"[4, 6, 7]"
502,13,0,"[2, 4, 5, 7]"
139,17,0,"[2, 5, 7]"
199,10,1,"[2, 5, 7, 8]"
285,2,1,"[4, 7]"
434,10,1,"[2, 5, 7, 8]"
56,14,1,"[2, 7]"
141,11,1,"[2, 5, 7]"
40,20,0,"[2, 3, 5, 7]"
300,3,1,"[4, 7]"
35,4,1,"[2, 3, 5, 7]"
473,17,1,"[2, 5, 7]"
213,11,1,"[2, 5, 7]"
160,19,0,"[1, 2, 3, 5, 7]"
1,5,0,"[2, 4, 7, 8]"
450,5,0,"[2, 4, 7, 8]"
500,5,0,"[2, 4, 7, 8]"
104,10,1,"[2, 5, 7, 8]"
130,18,1,"[2, 5, 6, 7]"
99,16,1,"[2, 7]"
196,18,1,"[2, 5, 6, 7]"
291,20,0,"[2, 3, 5, 7]"
86,12,1,"[7, 8]"
362,3,1,"[4, 7]"
78,14,1,"[2, 7]"
475,16,0,"[2, 7]"
438,4,0,"[2, 3, 5, 7]"
239,19,0,"[1, 2, 3, 5, 7]"
422,13,1,"[2, 4, 5, 7]"
87,20,1,"[2, 3, 5, 7]"
282,18,1,"[2, 5, 6, 7]"
333,18,0,"[2, 5, 6, 7]"
264,13,0,"[2, 4, 5, 7]"
495,12,0,"[7, 8]"
66,2,0,"[4, 7]"
147,13,1,"[2, 4, 5, 7]"
519,2,0,"[4, 7]"
93,16,1,"[2, 7]"
386,5,1,"[2, 4, 7, 8]"
33,18,1,"[2, 5, 6, 7]"
299,7,0,"[1, 2, 7]"
215,7,0,"[1, 2, 7]"
229,5,1,"[2, 4, 7, 8]"
309,16,0,"[2, 7]"
245,10,1,"[2, 5, 7, 8]"
3,19,0,"[1, 2, 3, 5, 7]"
31,12,1,"[7, 8]"
535,11,1,"[2, 5, 7]"
196,1,1,"[4, 6, 7]"
327,14,0,"[2, 7]"
507,7,0,"[1, 2, 7]"
414,2,0,"[4, 7]"
70,20,0,"[2, 3, 5, 7]"
377,12,1,"[7, 8]"
30,2,1,"[4, 7]"
104,1,0,"[4, 6, 7]"
163,2,1,"[4, 7]"
342,5,0,"[2, 4, 7, 8]"
335,4,1,"[2, 3, 5, 7]"
254,11,1,"[2, 5, 7]"
101,3,0,"[4, 7]"
122,19,0,"[1, 2, 3, 5, 7]"
521,6,0,[7]
339,4,1,"[2, 3, 5, 7]"
177,16,1,"[2, 7]"
455,20,0,"[2, 3, 5, 7]"
33,11,1,"[2, 5, 7]"
402,4,1,"[2, 3, 5, 7]"
503,12,0,"[7, 8]"
392,14,1,"[2, 7]"
14,4,1,"[2, 3, 5, 7]"
131,3,0,"[4, 7]"
313,13,1,"[2, 4, 5, 7]"
442,6,0,[7]
91,18,0,"[2, 5, 6, 7]"
291,11,0,"[2, 5, 7]"
167,14,0,"[2, 7]"
347,14,0,"[2, 7]"
451,9,1,[2]
432,19,0,"[1, 2, 3, 5, 7]"
28,15,0,"[1, 7]"
208,8,1,[7]
165,19,0,"[1, 2, 3, 5, 7]"
532,13,0,"[2, 4, 5, 7]"
235,10,0,"[2, 5, 7, 8]"
458,1,1,"[4, 6, 7]"
355,12,1,"[7, 8]"
73,5,0,"[2, 4, 7, 8]"
13,19,0,"[1, 2, 3, 5, 7]"
286,5,0,"[2, 4, 7, 8]"
71,1,0,"[4, 6, 7]"
64,2,1,"[4, 7]"
392,7,0,"[1, 2, 7]"
501,7,0,"[1, 2, 7]"
181,14,0,"[2, 7]"
202,20,1,"[2, 3, 5, 7]"
408,13,0,"[2, 4, 5, 7]"
82,3,1,"[4, 7]"
103,11,0,"[2, 5, 7]"
394,11,1,"[2, 5, 7]"
61,6,1,[7]
265,4,0,"[2, 3, 5, 7]"
317,19,0,"[1, 2, 3, 5, 7]"
390,12,1,"[7, 8]"
328,18,1,"[2, 5, 6, 7]"
81,10,0,"[2, 5, 7, 8]"
319,15,1,"[1, 7]"
297,4,0,"[2, 3, 5, 7]"
156,6,1,[7]
180,16,1,"[2, 7]"
253,8,1,[7]
363,2,1,"[4, 7]"
228,19,0,"[1, 2, 3, 5, 7]"
170,19,0,"[1, 2, 3, 5, 7]"
294,11,0,"[2, 5, 7]"
326,4,0,"[2, 3, 5, 7]"
471,17,0,"[2, 5, 7]"
148,13,0,"[2, 4, 5, 7]"
39,16,1,"[2, 7]"
171,15,0,"[1, 7]"
31,9,1,[2]
218,8,1,[7]
478,18,1,"[2, 5, 6, 7]"
385,2,1,"[4, 7]"
220,3,0,"[4, 7]"
71,6,1,[7]
15,10,0,"[2, 5, 7, 8]"
477,16,1,"[2, 7]"
359,18,0,"[2, 5, 6, 7]"
302,16,1,"[2, 7]"
467,15,0,"[1, 7]"
366,10,0,"[2, 5, 7, 8]"
53,7,0,"[1, 2, 7]"
151,12,1,"[7, 8]"
55,15,0,"[1, 7]"
367,5,0,"[2, 4, 7, 8]"
268,7,0,"[1, 2, 7]"
427,1,0,"[4, 6, 7]"
400,4,1,"[2, 3, 5, 7]"
335,2,1,"[4, 7]"
507,8,1,[7]
416,18,0,"[2, 5, 6, 7]"
206,9,1,[2]
350,19,1,"[1, 2, 3, 5, 7]"
527,9,1,[2]
361,14,1,"[2, 7]"
168,9,1,[2]
378,17,0,"[2, 5, 7]"
224,13,0,"[2, 4, 5, 7]"
527,8,1,[7]
407,10,0,"[2, 5, 7, 8]"
307,1,1,"[4, 6, 7]"
125,1,1,"[4, 6, 7]"
514,2,0,"[4, 7]"
443,14,1,"[2, 7]"
52,14,1,"[2, 7]"
322,14,1,"[2, 7]"
323,6,1,[7]
239,20,1,"[2, 3, 5, 7]"
117,20,0,"[2, 3, 5, 7]"
340,7,1,"[1, 2, 7]"
445,11,1,"[2, 5, 7]"
